iter	Passed	Remaining
860	8761	1414
861	8778	1405
862	8785	1394
863	8795	1384
864	8811	1375
865	8821	1364
866	8827	1354
867	8838	1344
868	8845	1333
869	8853	1322
870	8861	1312
871	8873	1302
872	8879	1291
873	8887	1281
874	8895	1270
875	8905	1260
876	8915	1250
877	8926	1240
878	8935	1229
879	8943	1219
880	8953	1209
881	8964	1199
882	8972	1188
883	8979	1178
884	8986	1167
885	8999	1157
886	9010	1147
887	9025	1138
888	9039	1128
889	9047	1118
890	9056	1107
891	9067	1097
892	9073	1087
893	9082	1076
894	9089	1066
895	9104	1056
896	9115	1046
897	9128	1036
898	9138	1026
899	9147	1016
900	9161	1006
901	9168	996
902	9175	985
903	9184	975
904	9200	965
905	9215	956
906	9228	946
907	9241	936
908	9250	926
909	9263	916
910	9272	905
911	9280	895
912	9299	886
913	9312	876
914	9330	866
915	9344	856
916	9350	846
917	9361	836
918	9370	825
919	9380	815
920	9398	806
921	9410	796
922	9420	785
923	9431	775
924	9437	765
925	9446	754
926	9452	744
927	9462	734
928	9470	723
929	9476	713
930	9487	703
931	9496	692
932	9503	682
933	9511	672
934	9519	661
935	9529	651
936	9538	641
937	9554	631
938	9562	621
939	9569	610
940	9577	600
941	9589	590
942	9600	580
943	9607	569
944	9618	559
945	9625	549
946	9632	539
947	9653	529
948	9661	519
949	9674	509
950	9684	498
951	9693	488
952	9701	478
953	9710	468
954	9720	458
955	9731	447
956	9745	437
957	9754	427
958	9761	417
959	9770	407
960	9779	396
961	9788	386
962	9795	376
963	9802	366
964	9819	356
965	9826	345
966	9838	335
967	9853	325
968	9862	315
969	9878	305
970	9887	295
971	9895	285
972	9904	274
973	9922	264
974	9929	254
975	9942	244
976	9951	234
977	9963	224
978	9972	213
979	9981	203
980	9989	193
981	9995	183
982	10006	173
983	10013	162
984	10019	152
985	10030	142
986	10039	132
987	10048	122
988	10056	111
989	10066	101
990	10075	91
991	10085	81
992	10093	71
993	10101	60
994	10110	50
995	10120	40
996	10127	30
997	10137	20
998	10147	10
999	10154	0
